Date,Flow (kg/h),Days,CH4Net (t/mo),Lo (t/mo),Hi (t/mo),CT inventory (t/mo)
2019-02-27,143.0,28,96.0,67.0,125.0,n/a
2019-04-08,672.0,30,484.0,339.0,629.0,n/a
2019-06-17,84.0,30,60.0,42.0,78.0,n/a
2019-08-31,367.0,31,273.0,191.0,355.0,n/a
2019-09-05,108.0,30,77.0,54.0,101.0,n/a
2019-10-20,124.0,31,92.0,64.0,119.0,n/a
2020-03-23,819.0,31,609.0,426.0,792.0,n/a
2020-07-01,156.0,31,116.0,81.0,151.0,n/a
2020-09-14,72.0,30,52.0,36.0,68.0,n/a
2021-03-03,182.0,31,136.0,95.0,176.0,3369.0
2021-04-02,161.0,30,116.0,81.0,151.0,3256.0
2021-10-09,367.0,31,273.0,191.0,355.0,3028.0
2021-11-03,898.0,30,647.0,453.0,841.0,3445.0
2021-12-03,5317.0,31,3956.0,2769.0,5143.0,3828.0
2024-05-26,152.0,31,113.0,79.0,147.0,2213.0
