site,date,country,source_type,lat,lon,product_name,status,background_ppb,mean_near_ppb,max_near_ppb,enhancement_ppb,n_box_pixels,n_near_pixels,near_radius_deg,qa_threshold,validated,s2_tile
silesia_jastrzebie,2023-01-01,PL,coal_mine,49.95,18.59,S5P_OFFL_L2__CH4____20230101T101219_20230101T115349_27042_03_020400_20230103T111,ok,1837.36,1849.79,1867.45,12.44,56,3,0.5,0.3,True,T34UCB
silesia_jastrzebie,2023-01-02,PL,coal_mine,49.95,18.59,S5P_OFFL_L2__CH4____20230102T095319_20230102T113449_27056_03_020400_20230104T021,ok,1865.26,1873.21,1905.86,7.96,204,42,0.3,0.3,False,T34UCB
silesia_jastrzebie,2023-01-03,PL,coal_mine,49.95,18.59,S5P_OFFL_L2__CH4____20230103T093420_20230103T111550_27070_03_020400_20230105T015,ok,1781.21,1715.52,1758.26,-65.69,334,31,0.3,0.0,False,T34UCB
silesia_jastrzebie,2023-01-04,PL,coal_mine,49.95,18.59,S5P_OFFL_L2__CH4____20230104T091521_20230104T105651_27084_03,cloudy_or_miss,,,,,,,,,,
silesia_jastrzebie,2023-01-05,PL,coal_mine,49.95,18.59,S5P_OFFL_L2__CH4____20230105T103752_20230105T121922_27099_03_020400_20230107T030,ok,1854.94,1851.83,1855.49,-3.11,16,2,0.5,0.3,False,T34UCB
silesia_jastrzebie,2023-01-06,PL,coal_mine,49.95,18.59,S5P_OFFL_L2__CH4____20230106T101853_20230106T120023_27113_03,cloudy_or_miss,,,,,,,,,,
silesia_jastrzebie,2023-01-07,PL,coal_mine,49.95,18.59,S5P_OFFL_L2__CH4____20230107T095954_20230107T114124_27127_03_020400_20230109T022,ok,1853.43,1826.01,1855.17,-27.42,78,8,0.3,0.3,False,T34UCB
silesia_jastrzebie,2023-01-08,PL,coal_mine,49.95,18.59,S5P_OFFL_L2__CH4____20230108T094055_20230108T112225_27141_03_020400_20230110T020,ok,1742.85,nan,nan,nan,389,35,0.3,0.0,False,T34UCB
silesia_jastrzebie,2023-01-09,PL,coal_mine,49.95,18.59,S5P_OFFL_L2__CH4____20230109T092156_20230109T110326_27155_03,cloudy_or_miss,,,,,,,,,,
silesia_jastrzebie,2023-01-10,PL,coal_mine,49.95,18.59,S5P_OFFL_L2__CH4____20230110T090258_20230110T104428_27169_03,cloudy_or_miss,,,,,,,,,,
silesia_jastrzebie,2023-01-11,PL,coal_mine,49.95,18.59,S5P_OFFL_L2__CH4____20230111T102529_20230111T120700_27184_03,cloudy_or_miss,,,,,,,,,,
